Categoria;Produto;Média
09 - BELEZA;LACA MY LABEL FIX. EXTRA FORTE 300 ML;6,3
09 - BELEZA;CH. MYLABEL PROF KERATINA 900ML;7,1
14 - PEQUENO ALMOÇO;DOCE MIRTILOS CONTINENTE 375G;6,37
02 - MERCEARIA DOCE;BOL.ROSQUILHAS CONTINENTE 3*200GR;6,9
02 - MERCEARIA DOCE;BOL.COB.CHOCOLATE NEGRO CONTINENTE 150GR;6,73
03 - SOFT DRINKS;NECTAR FRUT.VERMELHOS CONTINENTE 6*20CL;6,5
13 - CHARCUTARIA&QUEIJOS;QJS CREMOSOS -30% GORD. CNT 16 POR.280G;6,9
18 - TAKE AWAY;(I)(AV)PIADINA MEXICANA 120G UN;7
18 - TAKE AWAY;(I)(AV)PIADINA FIAMBRE E QUEIJO 120G;6,8
18 - TAKE AWAY;(I)(AV) CORDON BLEU UN;6,17
10 - BENS ESSENCIAIS;FARINHA CONTINENTE P/PÃO RÚSTICO 1KG;7,1
03 - SOFT DRINKS;AGUA TONICA CONTINENTE;6,2
13 - CHARCUTARIA&QUEIJOS;(I)QJ FRESCO P/ BARRAR LIGHT CNT EQ 200G;6,73
13 - CHARCUTARIA&QUEIJOS;(I)QJ MOZZARELLA LIGHT RALADO EMB.150G;6,8
08 - LATICÍNIOS/BEB. VEG.;NATA UHT CONTINENTE CULINÁRIA 200ML;6,77
01 - MERCEARIA SALGADA;MOLHO ALHO FRESCO TD CONTINENTE 250ML;6
01 - MERCEARIA SALGADA;MOLHO ALHO FRESCO TD CONTINENTE 250ML;6
